"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1047","4.40104849","0.0","0.22721858","1.0","9","9","false","POLD3","13.88888889","9","0","0","0.71657929","false","0","POLD3","0","0.31565657"
"1048","4.32110092","0.00138354","0.23142251","0.45454545","23","9","false","MSH6","12.56521739","23","0","0","0.72324159","false","0","MSH6","6246","0.22044241"
"1050","4.40104849","0.0","0.22721858","1.0","9","9","false","RFC2","13.88888889","9","0","0","0.71657929","false","0","RFC2","0","0.31565657"
"1052","4.40104849","0.0","0.22721858","1.0","9","9","false","LIG1","13.88888889","9","0","0","0.71657929","false","0","LIG1","0","0.31565657"
"1054","4.40104849","0.0","0.22721858","1.0","9","9","false","RFC4","13.88888889","9","0","0","0.71657929","false","0","RFC4","0","0.31565657"
"1055","4.40104849","0.0","0.22721858","1.0","9","9","false","POLH","13.88888889","9","0","0","0.71657929","false","0","POLH","0","0.31565657"
"1060","4.18086501","0.00423757","0.23918495","0.45833333","16","9","false","FEN1","11.5625","16","0","0","0.73492792","false","0","FEN1","23982","0.19935345"
"1063","3.46133683","0.05545985","0.28890572","0.30846774","32","8","false","PCNA","18.5625","32","0","0","0.7948886","false","0","PCNA","362524","0.1125"
"1065","4.40104849","0.0","0.22721858","1.0","9","9","false","RFC3","13.88888889","9","0","0","0.71657929","false","0","RFC3","0","0.31565657"
"1081","4.40104849","0.0","0.22721858","1.0","9","9","false","RFC5","13.88888889","9","0","0","0.71657929","false","0","RFC5","0","0.31565657"
"1091","4.44167759","2.95E-5","0.22514016","0.85714286","7","9","false","XPC","10.57142857","7","0","0","0.71319353","false","0","XPC","280","0.34101382"
"1092","4.44167759","1.15E-6","0.22514016","0.9047619","7","9","false","APEX1","10.85714286","7","0","0","0.71319353","false","0","APEX1","4","0.35023041"
"1094","4.44167759","1.15E-6","0.22514016","0.9047619","7","9","false","POLB","10.85714286","7","0","0","0.71319353","false","0","POLB","4","0.35023041"
"1097","4.44167759","2.95E-5","0.22514016","0.85714286","7","9","false","RPA2","10.57142857","7","0","0","0.71319353","false","0","RPA2","280","0.34101382"
"1101","4.53079948","1.15E-6","0.2207116","0.8","5","9","false","CHD1L","10.6","5","0","0","0.70576671","false","0","CHD1L","4","0.48181818"
"1105","3.94888598","0.00489008","0.25323598","0.38333333","16","9","false","PARP1","14.75","16","0","0","0.7542595","false","0","PARP1","39682","0.22014925"
"1117","4.20576671","5.6502E-4","0.23776878","0.66666667","7","9","false","PARG","13.42857143","7","0","0","0.73285277","false","0","PARG","3712","0.2797619"
"1120","3.5819135","0.05148325","0.27918039","0.36752137","27","9","false","CASP3","16.07407407","27","0","0","0.78484054","false","0","CASP3","482290","0.14612795"
"1126","1.7","0.0","0.58823529","1.0","3","2","false","GOT1","6.33333333","3","0","0","0.65","false","0","GOT1","0","0.63333333"
"1127","1.6","0.02222222","0.625","0.66666667","4","2","false","TAT","5.0","4","0","0","0.7","false","0","TAT","4","0.5"
"1129","1.6","0.0","0.625","1.0","4","2","false","PCBD2","7.25","4","0","0","0.7","false","0","PCBD2","0","0.725"
"1130","1.3","0.04814815","0.76923077","0.66666667","7","2","false","SPR","5.71428571","7","0","0","0.85","false","0","SPR","14","0.57142857"
"1132","1.5","0.00555556","0.66666667","0.9","5","2","false","PCBD1","6.6","5","0","0","0.75","false","0","PCBD1","2","0.66"
"1134","1.3","0.04814815","0.76923077","0.66666667","7","2","false","QDPR","5.71428571","7","0","0","0.85","false","0","QDPR","14","0.57142857"
"1136","1.6","0.0","0.625","1.0","4","2","false","AKR1B1","7.25","4","0","0","0.7","false","0","AKR1B1","0","0.725"
